indicator_id,description,unit,direction,source_api,frequency,historical,trend_ready,is_core
price,当前股价,USD,higher_is_better,quote,daily,true,true,true
market_cap,市值,USD,higher_is_better,quote,daily,true,true,true
enterprise_value,企业价值,USD,lower_is_better,quote,daily,true,true,true
beta,Beta(1y),ratio,range,quote,daily,true,true,true
week52_high,52周最高价,USD,lower_is_better,profile,daily,true,true,true
week52_low,52周最低价,USD,higher_is_better,profile,daily,true,true,true
avg_volume_90d,90日均量,count,higher_is_better,profile,daily,true,true,true
pe_ttm,市盈率TTM,ratio,lower_is_better,key-metrics-ttm,daily,true,true,true
pe_forward,前瞻PE,ratio,lower_is_better,key-metrics-ttm,daily,true,true,true
pb,市净率,ratio,lower_is_better,key-metrics-ttm,daily,true,true,true
ps_ttm,市销率TTM,ratio,lower_is_better,key-metrics-ttm,daily,true,true,true
ev_ebitda,EV/EBITDA,ratio,lower_is_better,key-metrics-ttm,daily,true,true,true
ev_ebit,EV/EBIT,ratio,lower_is_better,key-metrics-ttm,daily,true,true,true
earnings_yield_ttm,盈利收益率TTM,%,higher_is_better,key-metrics-ttm,daily,true,true,true
fcf_yield_ttm,自由现金流收益率TTM,%,higher_is_better,key-metrics-ttm,daily,true,true,true
dividend_yield_ttm,股息率TTM,%,range,key-metrics-ttm,daily,true,true,true
payout_ratio_ttm,派息率TTM,%,lower_is_better,ratios-ttm,daily,true,true,true
roe_ttm,ROE TTM,%,higher_is_better,ratios-ttm,daily,true,true,true
roa_ttm,ROA TTM,%,higher_is_better,ratios-ttm,daily,true,true,true
roic_ttm,ROIC TTM,%,higher_is_better,ratios-ttm,daily,true,true,true
gross_margin_ttm,毛利率TTM,%,higher_is_better,ratios-ttm,daily,true,true,true
operating_margin_ttm,营业利润率TTM,%,higher_is_better,ratios-ttm,daily,true,true,true
net_margin_ttm,净利率TTM,%,higher_is_better,ratios-ttm,daily,true,true,true
fcf_margin_ttm,自由现金流率TTM,%,higher_is_better,ratios-ttm,daily,true,true,true
cashflow_quality_ttm,现金流质量(CFO/净利)TTM,ratio,higher_is_better,ratios-ttm,daily,true,true,true
asset_turnover_ttm,资产周转率TTM,ratio,higher_is_better,ratios-ttm,daily,true,true,true
interest_coverage_ttm,利息保障倍数TTM,ratio,higher_is_better,ratios-ttm,daily,true,true,true
revenue_yoy,收入同比增长率,%,higher_is_better,financial-growth,quarterly,true,true,true
eps_yoy,EPS同比增长率,%,higher_is_better,financial-growth,quarterly,true,true,true
revenue_cagr_3y,收入3年CAGR,%,higher_is_better,financial-growth,annual,true,true,true
eps_cagr_3y,EPS3年CAGR,%,higher_is_better,financial-growth,annual,true,true,true
fcf_yoy,FCF同比增长率,%,higher_is_better,financial-growth,quarterly,true,true,true
debt_equity,负债权益比,ratio,lower_is_better,ratios-ttm,quarterly,true,true,true
net_debt_ebitda,净债务/EBITDA,ratio,lower_is_better,key-metrics-ttm,quarterly,true,true,true
current_ratio,流动比率,ratio,higher_is_better,ratios-ttm,quarterly,true,true,true
quick_ratio,速动比率,ratio,higher_is_better,ratios-ttm,quarterly,true,true,true
altman_z,AltmanZ分数,score,higher_is_better,ratios-ttm,quarterly,true,true,true
piotroski_f,PiotroskiF分数,score,higher_is_better,ratios-ttm,quarterly,true,true,true
volatility_90d,90日波动率(近90日收益率标准差),%,lower_is_better,historical-price,daily,true,true,true
dividend_yield_current,当前股息率,%,range,key-metrics-ttm,daily,true,true,true
dividend_cagr_3y,股息3年CAGR,%,higher_is_better,key-metrics-ttm,annual,true,true,true
price_change_1m,价格1月变化,%,higher_is_better,historical-price,daily,true,true,true
price_change_3m,价格3月变化,%,higher_is_better,historical-price,daily,true,true,true
price_change_6m,价格6月变化,%,higher_is_better,historical-price,daily,true,true,true
price_change_12m,价格12月变化,%,higher_is_better,historical-price,daily,true,true,true
sma50,50日均线,USD,higher_is_better,technicals,daily,true,false,true
sma200,200日均线,USD,higher_is_better,technicals,daily,true,false,true
rsi14,RSI(14),score,range,technicals,daily,true,false,true
distance_to_52w_high,距52周高点百分比,%,lower_is_better,historical-price,daily,true,true,true
distance_to_52w_low,距52周低点百分比,%,higher_is_better,historical-price,daily,true,true,true
